queue	key	label	source	source_id	hint
review-readiness	CHEBI:39932	(R)-oct-1-en-3-ol	CHEBI	PMID:11114310|PMID:19238325|PMID:26126831|PMID:26581402|PMID:28018630	MECHANISM_REVIEW: mechanism is absent; 8 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:49845	(R)-quinacrine	CHEBI		MECHANISM_REVIEW: mechanism is absent; 0 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:77794	(R)-temafloxacin	CHEBI	PMID:1846917	MECHANISM_REVIEW: mechanism is source-seeded and not curator-checked; 1 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:77584	(R)-tosufloxacin	CHEBI		MECHANISM_REVIEW: mechanism is absent; 0 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:18145	(R,R,R)-α-tocopherol	CHEBI	PMID:11427352|PMID:12899840|PMID:14657365|PMID:16512933|PMID:17031012	MECHANISM_REVIEW: mechanism is absent; 10 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:368	(S)-(−)-citronellal	CHEBI		MECHANISM_REVIEW: mechanism is absent; 0 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:70482	(S)-1'-methylbutyl caffeate	CHEBI	PMID:20954722	MECHANISM_REVIEW: mechanism is absent; 1 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:70484	(S)-1'-methyloctyl caffeate	CHEBI	PMID:20954722	MECHANISM_REVIEW: mechanism is absent; 1 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:59302	(S)-bromazine	CHEBI		MECHANISM_REVIEW: mechanism is absent; 0 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:59305	(S)-bromazine hydrochloride	CHEBI		MECHANISM_REVIEW: mechanism is absent; 0 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:59288	(S)-butoconazole	CHEBI		MECHANISM_REVIEW: mechanism is source-seeded and not curator-checked; 0 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:59290	(S)-butoconazole nitrate	CHEBI		MECHANISM_REVIEW: mechanism is source-seeded and not curator-checked; 0 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:39254	(S)-chloroquine	CHEBI		MECHANISM_REVIEW: mechanism is absent; 0 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:59480	(S)-chlorphenesin	CHEBI		MECHANISM_REVIEW: mechanism is absent; 0 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:106738	(S)-famoxadone	CHEBI	PMID:10843216	MECHANISM_REVIEW: mechanism is source-seeded and not curator-checked; 1 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:85272	(S)-flumequine	CHEBI		MECHANISM_REVIEW: mechanism is absent; 0 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:145869	(S)-fluoxapiprolin	CHEBI		MECHANISM_REVIEW: mechanism is absent; 0 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:53562	(S)-gatifloxacin	CHEBI		MECHANISM_REVIEW: mechanism is source-seeded and not curator-checked; 0 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:5373	(S)-glaucine	CHEBI	PMID:23194502|PMID:23303745|PMID:23988488|PMID:24317429|PMID:24897106	MECHANISM_REVIEW: mechanism is absent; 10 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:80751	(S)-goitrin	CHEBI	PMID:20551074|PMID:22023255|PMID:26946249|PMID:27022502|PMID:28894621	MECHANISM_REVIEW: mechanism is absent; 10 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:131753	(S)-iclaprim	CHEBI	PMID:19622858	MECHANISM_REVIEW: mechanism is source-seeded and not curator-checked; 1 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:98	(S)-linalool	CHEBI		MECHANISM_REVIEW: mechanism is absent; 0 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:32800	(S)-mandelic acid	CHEBI		MECHANISM_REVIEW: mechanism is absent; 0 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:37908	(S)-nadifloxacin	ARO+CHEBI	PMID:31920285	MECHANISM_REVIEW: mechanism is absent; 1 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:46735	(S)-oct-1-en-3-ol	CHEBI	PMID:26126831|PMID:26543554|PMID:30923972|PMID:34023691	MECHANISM_REVIEW: mechanism is absent; 4 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:37597	(S)-quinacrine	CHEBI		MECHANISM_REVIEW: mechanism is absent; 0 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:77795	(S)-temafloxacin	CHEBI	PMID:1846917	MECHANISM_REVIEW: mechanism is source-seeded and not curator-checked; 1 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:77582	(S)-tosufloxacin	CHEBI		MECHANISM_REVIEW: mechanism is absent; 0 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:15660	(Z)-2-(2-furyl)-3-(5-nitro-2-furyl)acrylamide	CHEBI		MECHANISM_REVIEW: mechanism is absent; 0 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:83427	(Z)-dimethomorph	CHEBI	PMID:12033804|PMID:20623489|PMID:22902184|PMID:23496017	MECHANISM_REVIEW: mechanism is absent; 4 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:32109	(Z)-roxithromycin	CHEBI		MECHANISM_REVIEW: mechanism is absent; 0 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:167318	(Z)-tomaymycin	CHEBI	PMID:6833147	MECHANISM_REVIEW: mechanism is absent; 1 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:18822	(Z,Z,Z)-geranylgeraniol	CHEBI		MECHANISM_REVIEW: mechanism is absent; 0 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:68935	(±)-chartaceone C	CHEBI	PMID:22050318	MECHANISM_REVIEW: mechanism is absent; 1 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:68936	(±)-chartaceone D	CHEBI	PMID:22050318	MECHANISM_REVIEW: mechanism is absent; 1 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:68937	(±)-chartaceone E	CHEBI	PMID:22050318	MECHANISM_REVIEW: mechanism is absent; 1 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:68938	(±)-chartaceone F	CHEBI	PMID:22050318	MECHANISM_REVIEW: mechanism is absent; 1 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:63687	(−)-(11S,2'R)-erythro-mefloquine	CHEBI		MECHANISM_REVIEW: mechanism is absent; 0 source literature lead(s), 0 record evidence item(s), 0 target(s)
